"Rapport";"Målerverdier"
"Objekt";"EL-Brytehall/Garderober"
"Beskrivelse";"Daglige verdier for forrige år."
"Tid (Daglig)";"Energi";"CO₂";"Kostnad";"Peak High";"Snittlast";"Utetemperatur"
"01.01.2025";"32,80";"0,92";"";"2,20";"1,37";"-4,63"
"02.01.2025";"32,30";"0,91";"";"2,00";"1,35";"-6,13"
"03.01.2025";"32,70";"0,92";"";"2,10";"1,36";"-5,62"
"04.01.2025";"31,20";"0,88";"";"1,90";"1,30";"-10,28"
"05.01.2025";"29,60";"0,83";"";"1,90";"1,23";"-10,43"
"06.01.2025";"34,10";"0,96";"";"2,50";"1,42";"-4,23"
"07.01.2025";"36,80";"1,04";"";"2,80";"1,53";"0,24"
"08.01.2025";"38,90";"1,10";"";"3,20";"1,62";"-2,38"
"09.01.2025";"42,30";"1,19";"";"3,70";"1,76";"-1,40"
"10.01.2025";"38,40";"1,08";"";"2,90";"1,60";"-2,58"
"11.01.2025";"43,10";"1,22";"";"3,50";"1,80";"-2,17"
"12.01.2025";"36,60";"1,03";"";"2,90";"1,53";"-7,24"
"13.01.2025";"37,00";"1,04";"";"3,10";"1,54";"-2,94"
"14.01.2025";"38,30";"1,08";"";"4,00";"1,60";"1,84"
"15.01.2025";"40,70";"1,15";"";"3,40";"1,70";"0,56"
"16.01.2025";"37,20";"1,05";"";"3,00";"1,55";"2,24"
"17.01.2025";"30,90";"0,87";"";"2,10";"1,29";"2,90"
"18.01.2025";"31,80";"0,90";"";"1,90";"1,33";"2,66"
"19.01.2025";"32,50";"0,92";"";"2,10";"1,35";"1,80"
"20.01.2025";"32,60";"0,92";"";"2,40";"1,36";"-0,04"
"21.01.2025";"32,90";"0,93";"";"2,20";"1,37";"-1,66"
"22.01.2025";"33,00";"0,93";"";"2,80";"1,38";"-2,43"
"23.01.2025";"32,00";"0,90";"";"1,90";"1,33";"-1,88"
"24.01.2025";"32,50";"0,92";"";"1,90";"1,35";"-0,72"
"25.01.2025";"32,90";"0,93";"";"1,90";"1,37";"4,93"
"26.01.2025";"32,00";"0,90";"";"1,90";"1,33";"2,34"
"27.01.2025";"33,20";"0,94";"";"2,40";"1,38";"1,11"
"28.01.2025";"33,70";"0,95";"";"2,40";"1,40";"1,88"
"29.01.2025";"32,90";"0,93";"";"2,30";"1,37";"3,03"
"30.01.2025";"32,50";"0,92";"";"2,50";"1,35";"0,38"
"31.01.2025";"31,00";"0,87";"";"2,20";"1,29";"-2,34"
"01.02.2025";"30,90";"0,87";"";"2,00";"1,29";"-3,93"
"02.02.2025";"34,90";"0,98";"";"2,80";"1,45";"-4,06"
"03.02.2025";"38,00";"1,07";"";"3,20";"1,58";"-2,00"
"04.02.2025";"36,00";"1,02";"";"2,80";"1,50";"3,45"
"05.02.2025";"37,00";"1,04";"";"2,90";"1,54";"5,38"
"06.02.2025";"37,40";"1,05";"";"3,20";"1,56";"0,34"
"07.02.2025";"33,60";"0,95";"";"2,60";"1,40";"-0,61"
"08.02.2025";"29,90";"0,84";"";"1,90";"1,25";"-0,77"
"09.02.2025";"29,40";"0,83";"";"1,70";"1,23";"-4,31"
"10.02.2025";"31,20";"0,88";"";"2,80";"1,30";"-3,13"
"11.02.2025";"31,50";"0,89";"";"2,60";"1,31";"-2,06"
"12.02.2025";"31,30";"0,88";"";"2,40";"1,30";"-4,11"
"13.02.2025";"31,40";"0,89";"";"2,40";"1,31";"-1,10"
