"Rapport";"Målerverdier"
"Objekt";"EL-Hovedmåler 4985-rest"
"Beskrivelse";"Daglige verdier for forrige år."
"Tid (Daglig)";"Energi";"CO₂";"Kostnad";"Peak High";"Snittlast";"Utetemperatur"
"01.01.2025";"466,00";"0,00";"0,00";"36,00";"19,42";"-4,63"
"02.01.2025";"443,00";"0,00";"0,00";"29,70";"18,46";"-6,13"
"03.01.2025";"522,40";"0,00";"0,00";"35,60";"21,77";"-5,62"
"04.01.2025";"482,50";"0,00";"0,00";"32,40";"20,10";"-10,28"
"05.01.2025";"570,90";"0,00";"0,00";"41,40";"23,79";"-10,43"
"06.01.2025";"650,90";"0,00";"0,00";"46,50";"27,12";"-4,23"
"07.01.2025";"662,10";"0,00";"0,00";"43,90";"27,59";"0,24"
"08.01.2025";"605,40";"0,00";"0,00";"41,50";"25,23";"-2,38"
"09.01.2025";"626,20";"0,00";"0,00";"45,20";"26,09";"-1,40"
"10.01.2025";"642,00";"0,00";"0,00";"40,90";"26,75";"-2,58"
"11.01.2025";"517,50";"0,00";"0,00";"38,90";"21,56";"-2,17"
"12.01.2025";"607,70";"0,00";"0,00";"43,90";"25,32";"-7,24"
"13.01.2025";"615,40";"0,00";"0,00";"45,20";"25,64";"-2,94"
"14.01.2025";"583,70";"0,00";"0,00";"38,70";"24,32";"1,84"
"15.01.2025";"636,50";"0,00";"0,00";"45,10";"26,52";"0,56"
"16.01.2025";"631,70";"0,00";"0,00";"49,00";"26,32";"2,24"
"17.01.2025";"585,30";"0,00";"0,00";"36,30";"24,39";"2,90"
"18.01.2025";"456,60";"0,00";"0,00";"34,50";"19,03";"2,66"
"19.01.2025";"543,80";"0,00";"0,00";"41,30";"22,66";"1,80"
"20.01.2025";"650,90";"0,00";"0,00";"52,00";"27,12";"-0,04"
"21.01.2025";"666,30";"0,00";"0,00";"44,20";"27,76";"-1,66"
"22.01.2025";"690,90";"0,00";"0,00";"56,70";"28,79";"-2,43"
"23.01.2025";"660,50";"0,00";"0,00";"41,90";"27,52";"-1,88"
"24.01.2025";"642,00";"0,00";"0,00";"42,70";"26,75";"-0,72"
"25.01.2025";"466,20";"0,00";"0,00";"32,90";"19,43";"4,93"
"26.01.2025";"542,70";"0,00";"0,00";"33,80";"22,61";"2,34"
"27.01.2025";"756,40";"0,00";"0,00";"51,00";"31,52";"1,11"
"28.01.2025";"642,10";"0,00";"0,00";"43,90";"26,75";"1,88"
"29.01.2025";"716,90";"0,00";"0,00";"50,00";"29,87";"3,03"
"30.01.2025";"694,20";"0,00";"0,00";"48,10";"28,93";"0,38"
"31.01.2025";"688,30";"0,00";"0,00";"44,10";"28,68";"-2,34"
"01.02.2025";"661,20";"0,00";"0,00";"50,90";"27,55";"-3,93"
"02.02.2025";"631,10";"0,00";"0,00";"48,30";"26,30";"-4,06"
"03.02.2025";"626,90";"0,00";"0,00";"43,90";"26,12";"-2,00"
"04.02.2025";"600,30";"0,00";"0,00";"44,90";"25,01";"3,45"
"05.02.2025";"685,80";"0,00";"0,00";"54,40";"28,58";"5,38"
"06.02.2025";"607,40";"0,00";"0,00";"39,40";"25,31";"0,34"
"07.02.2025";"602,80";"0,00";"0,00";"43,70";"25,12";"-0,61"
"08.02.2025";"669,10";"0,00";"0,00";"48,10";"27,88";"-0,77"
"09.02.2025";"626,30";"0,00";"0,00";"46,40";"26,10";"-4,31"
"10.02.2025";"633,20";"0,00";"0,00";"51,20";"26,38";"-3,13"
"11.02.2025";"657,20";"0,00";"0,00";"47,00";"27,38";"-2,06"
"12.02.2025";"663,30";"0,00";"0,00";"49,70";"27,64";"-4,11"
"13.02.2025";"664,70";"0,00";"0,00";"43,50";"27,70";"-1,10"
"14.02.2025";"650,20";"0,00";"0,00";"43,30";"27,09";"-4,47"
"15.02.2025";"506,10";"0,00";"0,00";"42,30";"21,09";"-4,53"
"16.02.2025";"460,00";"0,00";"0,00";"35,00";"19,17";"-7,04"
"17.02.2025";"531,70";"0,00";"0,00";"37,70";"22,15";"-3,34"
"18.02.2025";"526,10";"0,00";"0,00";"32,30";"21,92";"-2,78"
"19.02.2025";"563,40";"0,00";"0,00";"36,30";"23,48";"-5,28"
"20.02.2025";"566,10";"0,00";"0,00";"35,90";"23,59";"-1,34"
"21.02.2025";"511,50";"0,00";"0,00";"35,10";"21,31";"1,44"
"22.02.2025";"402,30";"0,00";"0,00";"33,50";"16,76";"3,33"
"23.02.2025";"462,70";"0,00";"0,00";"38,40";"19,28";"2,33"
"24.02.2025";"600,10";"0,00";"0,00";"50,30";"25,00";"4,52"
"25.02.2025";"624,80";"0,00";"0,00";"44,20";"26,03";"3,32"
"26.02.2025";"694,00";"0,00";"0,00";"48,20";"28,92";"2,90"
"27.02.2025";"625,70";"0,00";"0,00";"45,20";"26,07";"1,79"
"28.02.2025";"601,30";"0,00";"0,00";"41,20";"25,05";"-1,20"
"01.03.2025";"478,80";"0,00";"0,00";"38,30";"19,95";"-1,51"
"02.03.2025";"460,60";"0,00";"0,00";"31,70";"19,19";"3,97"
"03.03.2025";"625,50";"0,00";"0,00";"43,80";"26,06";"6,41"
"04.03.2025";"618,50";"0,00";"0,00";"47,40";"25,77";"6,68"
"05.03.2025";"622,50";"0,00";"0,00";"40,50";"25,94";"7,60"
"06.03.2025";"640,90";"0,00";"0,00";"41,50";"26,70";"10,63"
"07.03.2025";"607,40";"0,00";"0,00";"42,20";"25,31";"4,94"
"08.03.2025";"564,10";"0,00";"0,00";"47,70";"23,50";"3,15"
"09.03.2025";"588,00";"0,00";"0,00";"40,90";"24,50";"2,63"
"10.03.2025";"632,50";"0,00";"0,00";"43,40";"26,35";"2,20"
"11.03.2025";"639,10";"0,00";"0,00";"45,20";"26,63";"-0,06"
"12.03.2025";"628,50";"0,00";"0,00";"44,60";"26,19";"-1,38"
"13.03.2025";"601,90";"0,00";"0,00";"43,60";"25,08";"-1,67"
"14.03.2025";"645,00";"0,00";"0,00";"47,40";"26,88";"-0,80"
