"Rapport";"Målerverdier"
"Objekt";"EL-Ventilasjon Hall 2"
"Beskrivelse";"Daglige verdier for forrige år."
"Tid (Daglig)";"Energi";"CO₂";"Kostnad";"Peak High";"Snittlast";"Utetemperatur"
"01.01.2025";"78,90";"2,22";"";"6,20";"3,29";"-4,63"
"02.01.2025";"72,40";"2,04";"";"5,10";"3,02";"-6,13"
"03.01.2025";"94,80";"2,67";"";"7,30";"3,95";"-5,62"
"04.01.2025";"80,90";"2,28";"";"6,00";"3,37";"-10,28"
"05.01.2025";"93,40";"2,63";"";"7,20";"3,89";"-10,43"
"06.01.2025";"125,30";"3,53";"";"8,30";"5,22";"-4,23"
"07.01.2025";"142,90";"4,03";"";"8,50";"5,95";"0,24"
"08.01.2025";"128,30";"3,62";"";"8,00";"5,35";"-2,38"
"09.01.2025";"125,30";"3,53";"";"7,90";"5,22";"-1,40"
"10.01.2025";"133,30";"3,76";"";"7,70";"5,55";"-2,58"
"11.01.2025";"70,30";"1,98";"";"5,40";"2,93";"-2,17"
"12.01.2025";"109,80";"3,10";"";"7,40";"4,58";"-7,24"
"13.01.2025";"121,60";"3,43";"";"7,90";"5,07";"-2,94"
"14.01.2025";"127,30";"3,59";"";"7,85";"5,30";"1,84"
"15.01.2025";"118,40";"3,34";"";"7,80";"4,93";"0,56"
"16.01.2025";"127,10";"3,58";"";"7,90";"5,30";"2,24"
"17.01.2025";"109,20";"3,08";"";"7,80";"4,55";"2,90"
"18.01.2025";"77,30";"2,18";"";"6,80";"3,22";"2,66"
"19.01.2025";"112,10";"3,16";"";"7,70";"4,67";"1,80"
"20.01.2025";"119,50";"3,37";"";"7,60";"4,98";"-0,04"
"21.01.2025";"124,90";"3,52";"";"7,90";"5,20";"-1,66"
"22.01.2025";"130,10";"3,67";"";"7,80";"5,42";"-2,43"
"23.01.2025";"128,10";"3,61";"";"8,20";"5,34";"-1,88"
"24.01.2025";"129,60";"3,65";"";"8,30";"5,40";"-0,72"
"25.01.2025";"63,60";"1,79";"";"2,80";"2,65";"4,93"
"26.01.2025";"90,80";"2,56";"";"7,50";"3,78";"2,34"
"27.01.2025";"132,60";"3,74";"";"8,10";"5,53";"1,11"
"28.01.2025";"129,00";"3,64";"";"8,20";"5,38";"1,88"
"29.01.2025";"138,10";"3,89";"";"8,10";"5,75";"3,03"
"30.01.2025";"125,00";"3,53";"";"7,80";"5,21";"0,38"
"31.01.2025";"130,30";"3,67";"";"7,60";"5,43";"-2,34"
"01.02.2025";"102,40";"2,89";"";"7,40";"4,27";"-3,93"
"02.02.2025";"114,50";"3,23";"";"7,60";"4,77";"-4,06"
"03.02.2025";"120,20";"3,39";"";"7,70";"5,01";"-2,00"
"04.02.2025";"121,30";"3,42";"";"8,00";"5,05";"3,45"
"05.02.2025";"120,30";"3,39";"";"7,70";"5,01";"5,38"
"06.02.2025";"117,80";"3,32";"";"7,50";"4,91";"0,34"
"07.02.2025";"116,40";"3,28";"";"7,40";"4,85";"-0,61"
"08.02.2025";"112,60";"3,18";"";"7,40";"4,69";"-0,77"
"09.02.2025";"94,00";"2,65";"";"7,30";"3,92";"-4,31"
"10.02.2025";"119,00";"3,36";"";"7,40";"4,96";"-3,13"
"11.02.2025";"113,20";"3,19";"";"7,40";"4,72";"-2,06"
"12.02.2025";"106,80";"3,01";"";"7,50";"4,45";"-4,11"
"13.02.2025";"127,60";"3,60";"";"7,50";"5,32";"-1,10"
"14.02.2025";"114,50";"3,23";"";"7,50";"4,77";"-4,47"
"15.02.2025";"63,80";"1,80";"";"4,60";"2,66";"-4,53"
"16.02.2025";"69,80";"1,97";"";"5,00";"2,91";"-7,04"
"17.02.2025";"77,80";"2,19";"";"5,80";"3,24";"-3,34"
"18.02.2025";"77,50";"2,19";"";"6,00";"3,23";"-2,78"
"19.02.2025";"88,20";"2,49";"";"7,30";"3,68";"-5,28"
"20.02.2025";"73,90";"2,08";"";"5,10";"3,08";"-1,34"
"21.02.2025";"80,00";"2,26";"";"6,40";"3,33";"1,44"
"22.02.2025";"59,60";"1,68";"";"2,50";"2,48";"3,33"
"23.02.2025";"67,10";"1,89";"";"4,50";"2,80";"2,33"
"24.02.2025";"116,40";"3,28";"";"8,10";"4,85";"4,52"
"25.02.2025";"125,10";"3,53";"";"8,00";"5,21";"3,32"
"26.02.2025";"122,30";"3,45";"";"8,00";"5,10";"2,90"
"27.02.2025";"114,60";"3,23";"";"8,00";"4,78";"1,79"
"28.02.2025";"125,10";"3,53";"";"7,80";"5,21";"-1,20"
"01.03.2025";"95,00";"2,68";"";"6,10";"3,96";"-1,51"
"02.03.2025";"73,80";"2,08";"";"5,70";"3,08";"3,97"
"03.03.2025";"119,10";"3,36";"";"8,00";"4,96";"6,41"
"04.03.2025";"129,10";"3,64";"";"8,10";"5,38";"6,68"
"05.03.2025";"132,80";"3,74";"";"8,20";"5,53";"7,60"
"06.03.2025";"136,00";"3,84";"";"8,10";"5,67";"10,63"
"07.03.2025";"131,10";"3,70";"";"7,90";"5,46";"4,94"
"08.03.2025";"101,80";"2,87";"";"7,80";"4,24";"3,15"
"09.03.2025";"110,20";"3,11";"";"7,80";"4,59";"2,63"
"10.03.2025";"118,10";"3,33";"";"7,50";"4,92";"2,20"
"11.03.2025";"128,00";"3,61";"";"7,90";"5,33";"-0,06"
"12.03.2025";"113,50";"3,20";"";"7,90";"4,73";"-1,38"
"13.03.2025";"123,90";"3,49";"";"7,90";"5,16";"-1,67"
"14.03.2025";"131,00";"3,69";"";"7,90";"5,46";"-0,80"
"15.03.2025";"94,90";"2,68";"";"7,60";"3,95";"1,15"
"16.03.2025";"84,70";"2,39";"";"6,50";"3,53";"3,76"
"17.03.2025";"126,70";"3,57";"";"8,00";"5,28";"1,66"
