"Rapport";"Målerverdier"
"Objekt";"EL-Ventilasjon Kontor/Garderober"
"Beskrivelse";"Daglige verdier for forrige år."
"Tid (Daglig)";"Energi";"CO₂";"Kostnad";"Peak High";"Snittlast";"Utetemperatur"
"01.01.2025";"55,00";"1,55";"";"3,30";"2,29";"-4,63"
"02.01.2025";"54,70";"1,54";"";"3,30";"2,28";"-6,13"
"03.01.2025";"54,50";"1,54";"";"3,30";"2,27";"-5,62"
"04.01.2025";"53,80";"1,52";"";"3,20";"2,24";"-10,28"
"05.01.2025";"51,00";"1,44";"";"3,20";"2,13";"-10,43"
"06.01.2025";"56,30";"1,59";"";"3,40";"2,35";"-4,23"
"07.01.2025";"57,60";"1,62";"";"3,40";"2,40";"0,24"
"08.01.2025";"56,30";"1,59";"";"3,30";"2,35";"-2,38"
"09.01.2025";"54,90";"1,55";"";"3,30";"2,29";"-1,40"
"10.01.2025";"54,40";"1,53";"";"3,20";"2,27";"-2,58"
"11.01.2025";"53,90";"1,52";"";"3,20";"2,25";"-2,17"
"12.01.2025";"52,70";"1,49";"";"3,10";"2,20";"-7,24"
"13.01.2025";"54,90";"1,55";"";"3,30";"2,29";"-2,94"
"14.01.2025";"55,30";"1,56";"";"3,30";"2,30";"1,84"
"15.01.2025";"55,30";"1,56";"";"3,30";"2,30";"0,56"
"16.01.2025";"55,50";"1,57";"";"3,30";"2,31";"2,24"
"17.01.2025";"53,90";"1,52";"";"3,60";"2,25";"2,90"
"18.01.2025";"55,30";"1,56";"";"3,30";"2,30";"2,66"
"19.01.2025";"55,40";"1,56";"";"3,30";"2,31";"1,80"
"20.01.2025";"55,10";"1,55";"";"3,30";"2,30";"-0,04"
"21.01.2025";"55,40";"1,56";"";"3,30";"2,31";"-1,66"
"22.01.2025";"55,50";"1,57";"";"3,30";"2,31";"-2,43"
"23.01.2025";"56,10";"1,58";"";"3,40";"2,34";"-1,88"
"24.01.2025";"56,80";"1,60";"";"3,40";"2,37";"-0,72"
"25.01.2025";"57,30";"1,62";"";"3,40";"2,39";"4,93"
"26.01.2025";"56,10";"1,58";"";"3,30";"2,34";"2,34"
"27.01.2025";"56,70";"1,60";"";"3,40";"2,36";"1,11"
"28.01.2025";"56,90";"1,60";"";"3,40";"2,37";"1,88"
"29.01.2025";"57,20";"1,61";"";"3,50";"2,38";"3,03"
"30.01.2025";"54,20";"1,53";"";"3,20";"2,26";"0,38"
"31.01.2025";"53,10";"1,50";"";"3,20";"2,21";"-2,34"
"01.02.2025";"52,60";"1,48";"";"3,20";"2,19";"-3,93"
"02.02.2025";"52,70";"1,49";"";"3,10";"2,20";"-4,06"
