"Rapport";"Målerverdier"
"Objekt";"EL-Ventilasjon Treningsrom"
"Beskrivelse";"Daglige verdier for forrige år."
"Tid (Daglig)";"Energi";"CO₂";"Kostnad";"Peak High";"Snittlast";"Utetemperatur"
"01.01.2025";"82,50";"2,33";"";"4,60";"3,44";"-4,63"
"02.01.2025";"81,70";"2,30";"";"4,60";"3,40";"-6,13"
"03.01.2025";"81,50";"2,30";"";"4,60";"3,40";"-5,62"
"04.01.2025";"80,20";"2,26";"";"4,50";"3,34";"-10,28"
"05.01.2025";"21,70";"0,61";"";"4,50";"0,90";"-10,43"
"06.01.2025";"62,90";"1,77";"";"5,00";"2,62";"-4,23"
"07.01.2025";"88,00";"2,48";"";"4,90";"3,67";"0,24"
"08.01.2025";"84,90";"2,39";"";"4,80";"3,54";"-2,38"
"09.01.2025";"74,30";"2,10";"";"4,70";"3,10";"-1,40"
"10.01.2025";"81,50";"2,30";"";"4,60";"3,40";"-2,58"
"11.01.2025";"81,00";"2,28";"";"4,60";"3,38";"-2,17"
"12.01.2025";"79,00";"2,23";"";"4,50";"3,29";"-7,24"
"13.01.2025";"82,20";"2,32";"";"4,70";"3,43";"-2,94"
"14.01.2025";"83,30";"2,35";"";"4,70";"3,47";"1,84"
"15.01.2025";"82,50";"2,33";"";"4,70";"3,44";"0,56"
"16.01.2025";"83,20";"2,35";"";"4,70";"3,47";"2,24"
"17.01.2025";"78,30";"2,21";"";"4,70";"3,26";"2,90"
"18.01.2025";"83,30";"2,35";"";"4,70";"3,47";"2,66"
"19.01.2025";"82,60";"2,33";"";"4,70";"3,44";"1,80"
"20.01.2025";"81,80";"2,31";"";"4,60";"3,41";"-0,04"
"21.01.2025";"83,30";"2,35";"";"4,70";"3,47";"-1,66"
"22.01.2025";"83,00";"2,34";"";"4,70";"3,46";"-2,43"
"23.01.2025";"84,40";"2,38";"";"4,80";"3,52";"-1,88"
"24.01.2025";"85,50";"2,41";"";"4,90";"3,56";"-0,72"
"25.01.2025";"85,90";"2,42";"";"4,80";"3,58";"4,93"
"26.01.2025";"84,20";"2,37";"";"4,70";"3,51";"2,34"
"27.01.2025";"85,00";"2,40";"";"4,80";"3,54";"1,11"
"28.01.2025";"85,30";"2,41";"";"4,80";"3,55";"1,88"
"29.01.2025";"85,20";"2,40";"";"4,80";"3,55";"3,03"
"30.01.2025";"81,70";"2,30";"";"4,70";"3,40";"0,38"
"31.01.2025";"79,80";"2,25";"";"4,50";"3,33";"-2,34"
"01.02.2025";"78,90";"2,22";"";"4,50";"3,29";"-3,93"
"02.02.2025";"79,50";"2,24";"";"4,50";"3,31";"-4,06"
"03.02.2025";"80,20";"2,26";"";"4,60";"3,34";"-2,00"
"04.02.2025";"81,70";"2,30";"";"4,60";"3,40";"3,45"
"05.02.2025";"81,40";"2,30";"";"4,60";"3,39";"5,38"
"06.02.2025";"78,80";"2,22";"";"4,50";"3,28";"0,34"
"07.02.2025";"78,60";"2,22";"";"4,50";"3,28";"-0,61"
"08.02.2025";"78,90";"2,22";"";"4,40";"3,29";"-0,77"
"09.02.2025";"78,00";"2,20";"";"4,40";"3,25";"-4,31"
"10.02.2025";"78,60";"2,22";"";"4,50";"3,28";"-3,13"
"11.02.2025";"78,70";"2,22";"";"4,40";"3,28";"-2,06"
"12.02.2025";"79,30";"2,24";"";"4,50";"3,30";"-4,11"
"13.02.2025";"80,10";"2,26";"";"4,50";"3,34";"-1,10"
"14.02.2025";"79,90";"2,25";"";"4,50";"3,33";"-4,47"
"15.02.2025";"79,30";"2,24";"";"4,50";"3,30";"-4,53"
"16.02.2025";"79,20";"2,23";"";"4,50";"3,30";"-7,04"
"17.02.2025";"81,00";"2,28";"";"4,60";"3,38";"-3,34"
"18.02.2025";"80,30";"2,26";"";"4,60";"3,35";"-2,78"
"19.02.2025";"79,80";"2,25";"";"4,50";"3,33";"-5,28"
"20.02.2025";"81,10";"2,29";"";"4,60";"3,38";"-1,34"
"21.02.2025";"82,70";"2,33";"";"4,60";"3,45";"1,44"
"22.02.2025";"83,30";"2,35";"";"4,70";"3,47";"3,33"
"23.02.2025";"82,20";"2,32";"";"4,60";"3,43";"2,33"
"24.02.2025";"83,40";"2,35";"";"4,70";"3,48";"4,52"
"25.02.2025";"83,10";"2,34";"";"4,70";"3,46";"3,32"
"26.02.2025";"82,90";"2,34";"";"4,70";"3,45";"2,90"
"27.02.2025";"82,20";"2,32";"";"4,60";"3,43";"1,79"
